issued_id,issued_book_name,issued_date,issued_book_isbn,issued_emp_id
IS106,Animal Farm,3/10/24,978-0-330-25864-8,E104
IS107,One Hundred Years of Solitude,3/11/24,978-0-14-118776-1,E104
IS108,The Great Gatsby,3/12/24,978-0-525-47535-5,E104
IS109,Jane Eyre,3/13/24,978-0-141-44171-6,E105
IS110,The Alchemist,3/14/24,978-0-307-37840-1,E105
IS111,Harry Potter and the Sorcerers Stone,3/15/24,978-0-679-76489-8,E105
IS112,A Game of Thrones,3/16/24,978-0-09-957807-9,E106
IS113,A Peoples History of the United States,3/17/24,978-0-393-05081-8,E106
IS114,The Guns of August,3/18/24,978-0-19-280551-1,E106
IS115,The Histories,3/19/24,978-0-14-044930-3,E107
IS116,"Guns, Germs, and Steel: The Fates of Human Societies",3/20/24,978-0-393-91257-8,E107
IS117,1984,3/21/24,978-0-679-64115-3,E107
IS118,Pride and Prejudice,3/22/24,978-0-14-143951-8,E108
IS119,Brave New World,3/23/24,978-0-452-28240-7,E108
IS120,The Road,3/24/24,978-0-670-81302-4,E108
IS121,The Shining,3/25/24,978-0-385-33312-0,E109
IS122,Fahrenheit 451,3/26/24,978-0-451-52993-5,E109
IS123,Dune,3/27/24,978-0-345-39180-3,E109
IS124,Where the Wild Things Are,3/28/24,978-0-06-025492-6,E110
IS125,The Kite Runner,3/29/24,978-0-06-112241-5,E110
IS126,Charlotte's Web,3/30/24,978-0-06-440055-8,E110
IS127,Beloved,3/31/24,978-0-679-77644-3,E110
IS128,A Tale of Two Cities,4/1/24,978-0-14-027526-3,E110
IS129,The Stand,4/2/24,978-0-7434-7679-3,E110
IS130,Moby Dick,4/3/24,978-0-451-52994-2,E101
IS131,To Kill a Mockingbird,4/4/24,978-0-06-112008-4,E101
IS132,The Hobbit,4/5/24,978-0-7432-7356-4,E106
IS133,Angels & Demons,4/6/24,978-0-7432-4722-5,E106
IS134,The Diary of a Young Girl,4/7/24,978-0-375-41398-8,E106
IS135,Sapiens: A Brief History of Humankind,4/8/24,978-0-307-58837-1,E108
IS136,1491: New Revelations of the Americas Before Columbus,4/9/24,978-0-7432-7357-1,E102
IS137,The Catcher in the Rye,4/10/24,978-0-553-29698-2,E103
IS138,The Great Gatsby,4/11/24,978-0-525-47535-5,E104
IS139,Harry Potter and the Sorcerers Stone,4/12/24,978-0-679-76489-8,E105
IS140,Animal Farm,4/13/24,978-0-330-25864-8,E102
